Группа,Дерево,Этап,Симметрия
1,23,До восстановления,0.566
1,149,До восстановления,0.430
1,23,После балансировки,0.567
1,149,После балансировки,0.402
1,23,После генерации,0.567
1,149,После генерации,0.431
2,37,До восстановления,0.641
2,146,До восстановления,0.679
2,37,После балансировки,0.642
2,146,После балансировки,0.652
2,37,После генерации,0.642
2,146,После генерации,0.679
3,44,До восстановления,0.509
3,75,До восстановления,0.551
3,44,После балансировки,0.455
3,75,После балансировки,0.482
3,44,После генерации,0.455
3,75,После генерации,0.551
4,48,До восстановления,0.503
4,49,До восстановления,0.719
4,50,До восстановления,0.356
4,48,После балансировки,0.510
4,49,После балансировки,0.671
4,50,После балансировки,0.330
4,48,После генерации,0.509
4,49,После генерации,0.705
4,50,После генерации,0.144
